Language,code,Post-2010 Count
English,25964,34046
Lating,66,79
Spanish,270,600
German,625,1620
French,1532,2377
Italian,224,803
Japanese,3,19
Chinese,406,38
Swedish,61,175
Danish,23,56
Welsh,10,5
Bulgarian,6,0
Portugese,380,264
Dutch,455,575
Greek,43,178
Hebrew,4,3
Russian,8,1
Hungarian,17,542
Korean,1,0
Polish,23,8
Finnish,517,2642
Esperanto,62,79
Middle English,6,0
Sanskrit,1,0
Old English,3,1
Aleut,1,0
Yiddish,1,0
Lithuanian,1,0
North American Indian,2,1
Serbian,4,0
Norwegian,10,11
Catalan,24,33
Romenian,1,4
Nahuatl,3,0
Khasi,1,0
Czech,7,5
Tagalog,54,6
Icelandic,7,0
Mayan Languages,2,1
Iloko,3,0
Interlingua,1,0
Irish,1,2
Friulian,6,1
Afrikaans,3,12
Gamilaraay,1,0
Occitan,1,1
Napoletano-Calabrese,1,0
Frisian,2,15
Cebuano,1,2
Galician,1,2
Maori,1,1
Navajo,1,2
Breton,1,0
Arapaho,2,0
Inuktitut,1,0
Tagabawa,1,0
Kashubian,1,0
Gaelic;Scottish,1,1
Caló,1,0
Slovenian,0,3
Telugu,0,6
Ojibwa,0,1
Greek;Ancient,0,3
Arabic,0,1
Estonian,0,1
Farsi,0,1
Scots,0,1
Bodo,0,2
Tibetan,0,1
Haida,0,1
