Language,Pre-2010 Count,Post-2010 Count
en,25964,34046
la,66,79
es,270,600
de,625,1620
fr,1532,2377
it,224,803
ja,3,19
zh,406,38
sv,61,175
da,23,56
cy,10,5
bg,6,0
pt,380,264
nl,455,575
el,43,178
he,4,3
ru,8,1
hu,17,542
ko,1,0
pl,23,8
fi,517,2642
eo,62,79
enm,6,0
sa,1,0
ang,3,1
ale,1,0
yi,1,0
lt,1,0
nai,2,1
sr,4,0
no,10,11
ca,24,33
ro,1,4
nah,3,0
kha,1,0
cs,7,5
tl,54,6
is,7,0
myn,2,1
ilo,3,0
ia,1,0
ga,1,2
fur,6,1
af,3,12
kld,1,0
oc,1,1
nap,1,0
fy,2,15
ceb,1,2
gl,1,2
mi,1,1
nav,1,2
br,1,0
arp,2,0
iu,1,0
bgs,1,0
csb,1,0
gla,1,1
rmq,1,0
sl,0,3
te,0,6
oji,0,1
grc,0,3
ar,0,1
et,0,1
fa,0,1
sco,0,1
brx,0,2
bo,0,1
hai,0,1
