Language;1971;1972;1973;1975;1976;1977;1978;1979;1989;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Total
English;1;1;2;1;1;1;1;1;1;5;13;36;58;102;334;315;348;339;311;313;376;1373;6363;4273;2887;3203;2798;2507;3282;3007;2697;2230;2474;2194;2237;1865;1770;2013;2280;2207;1983;2207;1573;59983
French;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;1;6;1;39;328;263;319;163;213;187;185;239;188;191;185;112;129;79;110;84;201;160;133;168;210;3906
Finnish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;114;142;91;65;64;37;41;82;61;73;206;267;326;230;154;150;210;129;86;229;393;3154
German;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;37;5;28;26;116;139;61;85;59;67;104;91;111;79;181;172;159;117;74;110;115;83;97;67;58;2243
Dutch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;6;80;71;87;62;70;76;54;55;40;40;36;40;25;27;25;8;32;55;65;42;30;1029
Italian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;15;12;61;24;44;52;40;55;39;100;116;87;35;10;41;58;60;37;24;56;45;1027
Spanish;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;7;55;49;27;24;52;52;29;21;29;33;43;52;57;45;41;33;67;47;48;27;28;870
Portugese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;28;34;100;118;92;120;20;9;4;5;1;5;4;3;3;35;1;32;17;5;644
Hungarian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;1;2;7;6;0;46;32;10;1;0;18;53;0;96;119;92;23;45;558
Chinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;10;3;55;0;78;247;11;0;0;2;3;0;1;16;9;5;0;1;0;1;0;0;444
Swedish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;9;14;9;5;11;11;7;0;5;0;6;38;31;23;19;12;9;11;1;6;7;236
Greek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;9;28;69;56;38;13;0;0;0;0;1;0;0;1;0;0;0;221
Latin;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;4;0;0;0;0;0;3;1;17;9;11;10;5;9;5;7;4;5;5;12;2;7;5;2;2;2;5;7;145
Esperanto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;16;16;17;7;9;10;3;5;7;8;9;3;2;1;11;4;4;1;2;141
